# r,k_smooth_cycles_per_km
1.178890381627294846e+05,1.319307629956373296e-01
1.178897790968725167e+05,1.319391414138887386e-01
1.178905200309408538e+05,1.322156292161848767e-01
1.178912609651585808e+05,1.323831975812128636e-01
1.178920018992269179e+05,1.325926580374978125e-01
1.178927428332952404e+05,1.324167112542184443e-01
1.178934837676623574e+05,1.322407644709390762e-01
1.178942247017306800e+05,1.320648176876597080e-01
1.178949656357990170e+05,1.322658997256932478e-01
1.178957065701661486e+05,1.321904939614306773e-01
1.178964475042344711e+05,1.324921170184810149e-01
1.178971884380040283e+05,1.325088738549838330e-01
1.178979293723711453e+05,1.325004954367324517e-01
1.178986703067382623e+05,1.329864436953135387e-01
1.178994112405078195e+05,1.332796883341124672e-01
1.179001521748749365e+05,1.332796883341124394e-01
1.179008931092420535e+05,1.329948221135648645e-01
1.179016340430116106e+05,1.329864436953134832e-01
1.179023749773787276e+05,1.334388782808889617e-01
1.179031159117458446e+05,1.338075286839504885e-01
1.179038568455154018e+05,1.339164481212186675e-01
1.179045977798825188e+05,1.341845575052633965e-01
1.179053387142496358e+05,1.342013143417662147e-01
1.179060796480191784e+05,1.343102337790343659e-01
1.179068205823862954e+05,1.345280726535707239e-01
1.179075615161558380e+05,1.345280726535707239e-01
1.179083024499253806e+05,1.349888856573976115e-01
1.179090433848900866e+05,1.351815892771797700e-01
1.179097843186596292e+05,1.353742928969619286e-01
1.179105252524291718e+05,1.353742928969619008e-01
1.179112661873938778e+05,1.353742928969619008e-01
1.179120071211634204e+05,1.354580770794758526e-01
1.179127480549329630e+05,1.354496986612244713e-01
1.179134889898976689e+05,1.354413202429730900e-01
1.179142299236672116e+05,1.356172670262524582e-01
1.179149708574367542e+05,1.356172670262524860e-01
1.179157117924014601e+05,1.356172670262524582e-01
1.179164527261710027e+05,1.355251044254870973e-01
1.179171936599405453e+05,1.353407792239563201e-01
1.179179345949052513e+05,1.354413202429730900e-01
1.179186755286747939e+05,1.356256454445038395e-01
1.179194164624443220e+05,1.356340238627552763e-01
1.179201573974090279e+05,1.358602411555430156e-01
1.179208983311785705e+05,1.358518627372915788e-01
1.179216392649481131e+05,1.358602411555429879e-01
1.179223801999128191e+05,1.360864584483307271e-01
1.179231211336823617e+05,1.363880815053810369e-01
1.179238620674519043e+05,1.477575950725280585e-01
1.179246030024166103e+05,1.594203532784739252e-01
1.179253439361861529e+05,1.709825704654030776e-01
1.179260848699556955e+05,1.825699229070864016e-01
1.179268258049204014e+05,1.944337631510658637e-01
1.179275667398851074e+05,2.057111141174474411e-01
1.179283076724594866e+05,2.172733313043765657e-01
1.179290486050338659e+05,2.289193326738196976e-01
1.179297895399985719e+05,2.402134404767040654e-01
1.179305304749632778e+05,2.517672792453817809e-01
1.179312714099279838e+05,2.636143626528584805e-01
1.179320123448926897e+05,2.746403610716981469e-01
1.179327532774670690e+05,2.857585220913032020e-01
1.179334942100414337e+05,2.971447924949530139e-01
1.179342351450061396e+05,3.085310628986027703e-01
1.179349760799708456e+05,3.201686858497944654e-01
1.179357170149355516e+05,3.306249518275390376e-01
1.179364579499002575e+05,3.426563604365464588e-01
1.179371988824746368e+05,3.489904446346033251e-01
1.179379398150490160e+05,3.553915561786713528e-01
1.179386807500137220e+05,3.618932087417561227e-01
1.179394216849784279e+05,3.567991304449061873e-01
1.179401626199431339e+05,3.521323514788775033e-01
1.179409035549078399e+05,3.475661135318656725e-01
1.179416444874822191e+05,3.427904151285688372e-01
1.179423854200565984e+05,3.377382289229758916e-01
1.179431263550213043e+05,3.330882067934500257e-01
1.179438672899860103e+05,3.285303472646896039e-01
1.179446082249507017e+05,3.236038373328675721e-01
1.179453491575250810e+05,3.188030036748165652e-01
1.179460900900994602e+05,3.140524405262739571e-01
1.179468310250641662e+05,3.093018773777313490e-01
1.179475719600288721e+05,3.049199646322502399e-01
1.179483128949935781e+05,3.005380518867691864e-01
1.179490538299582840e+05,2.953350541526510442e-01
1.179497947625326633e+05,2.901320564185329576e-01
1.179505356951070426e+05,2.846106787908617153e-01
1.179512766300717485e+05,2.802287660453805507e-01
1.179520175650364545e+05,2.749084704557428482e-01
1.179527585000011604e+05,2.749084704557428482e-01
1.179534994349658664e+05,2.745146847979271776e-01
1.179542403675402456e+05,2.741208991401113959e-01
1.179549813001146249e+05,2.741795480678712038e-01
1.179557222350793309e+05,2.739533307750834368e-01
1.179564631700440223e+05,2.735260314442621854e-01
1.179572041050087282e+05,2.730987321134408785e-01
1.179579450399734342e+05,2.729562990031671466e-01
1.179586859725478134e+05,2.725373780905972487e-01
1.179594269051221927e+05,2.722022413605413860e-01
1.179601678400868987e+05,2.721519708510329871e-01
1.179609087750516046e+05,2.717162931019603267e-01
1.179616497100163106e+05,2.713225074441445450e-01
1.179623906449810165e+05,2.709287217863288744e-01
1.179631315775553958e+05,2.709622354593344551e-01
1.179638725101297750e+05,2.711968311703735757e-01
1.179646134450944810e+05,2.713979132084071710e-01
1.179653543800591870e+05,2.714649405544183325e-01
1.179660953150238929e+05,2.718000772844742507e-01
1.179668362499885989e+05,2.719760240677536189e-01
1.179675771849533048e+05,2.720933219232732347e-01
1.179683181199180108e+05,2.721603492692843407e-01
1.179690590548827167e+05,2.723279176343122998e-01
1.179697999850667547e+05,2.724954859993402589e-01
1.179705409152508073e+05,2.726630543643682181e-01
1.179712818502155133e+05,2.728473795658989953e-01
1.179720227851802192e+05,2.731741378777035045e-01
1.179727637201449252e+05,2.734841393530053066e-01
1.179735046551096311e+05,2.737857624100555887e-01
1.179742455900743371e+05,2.740371149575975274e-01
1.179749865250390430e+05,2.744560358701674252e-01
1.179757274600037490e+05,2.748749567827373230e-01
1.179764683949684550e+05,2.755368518245977505e-01
1.179772093299331609e+05,2.759725295736704664e-01
1.179779502601172135e+05,2.764082073227431269e-01
1.179786911903012515e+05,2.769611829273354031e-01
1.179794321252659574e+05,2.773130764938940840e-01
1.179801730602306634e+05,2.776901053152069920e-01
1.179809139951953694e+05,2.782095672467936875e-01
1.179816549301600753e+05,2.786368665776149944e-01
1.179823958651247813e+05,2.791647069274530435e-01
1.179831368000894872e+05,2.797093041137938552e-01
1.179838777350541932e+05,2.802287660453805507e-01
1.179846186700188991e+05,2.807482279769672462e-01
1.179853596049836051e+05,2.813514740910678658e-01
1.179861005399483111e+05,2.820049907146769397e-01
1.179868414701323636e+05,2.824825605550065899e-01
1.179875824003164162e+05,2.831360771786156638e-01
1.179883233352811221e+05,2.838063506387275003e-01
1.179890642702458281e+05,2.844766240988393369e-01
1.179898052052105340e+05,2.853144659239790770e-01
1.179905461401752400e+05,2.858841983650741159e-01
1.179912870751399460e+05,2.864539308061692102e-01
1.179920280101046519e+05,2.869315006464989160e-01
1.179927689450693579e+05,2.874342057415827933e-01
1.179935098800340638e+05,2.880961007834432208e-01
1.179942508149987698e+05,2.886658332245382597e-01
1.179949917499634757e+05,2.889088073538288448e-01
1.179957326801475137e+05,2.893863771941584950e-01
1.179964736103315663e+05,2.898555686162367362e-01
1.179972145452962723e+05,2.901236780002814930e-01
1.179979554802609782e+05,2.903917873843262498e-01
1.179986964152256842e+05,2.905509773311027999e-01
1.179994373501903901e+05,2.909112493159128898e-01
1.180001782851550961e+05,2.912798997189743888e-01
1.180009192201198020e+05,2.915647659395219082e-01
1.180016601550845080e+05,2.917909832323096198e-01
1.180024010900492140e+05,2.919501731790862809e-01
1.180031420250139199e+05,2.919920652703432151e-01
1.180038829551979725e+05,2.920339573616002049e-01
1.180046238853820105e+05,2.920674710346057856e-01
1.180053648203467164e+05,2.919836868520918061e-01
1.180061057553114224e+05,2.919166595060806446e-01
1.180068466902761284e+05,2.918496321600694832e-01
1.180075876252408343e+05,2.916066580307789535e-01
1.180083285602055403e+05,2.914726033387565196e-01
1.180090694951702462e+05,2.911793586999576466e-01
1.180098104301349522e+05,2.905761125858570271e-01
1.180105513650996581e+05,2.904336794755832396e-01
1.180112923000643641e+05,2.900566506542702760e-01
1.180120332350290701e+05,2.894952966314267018e-01
1.180127741652131226e+05,2.890093483728456425e-01
1.180135150953971752e+05,2.885234001142644722e-01
1.180142560303618811e+05,2.880374518556834129e-01
1.180149969653265871e+05,2.874258273233313843e-01
1.180157379002912930e+05,2.868142027909793557e-01
1.180164788352559990e+05,2.860266314753479033e-01
1.180172197702207050e+05,2.852474385779678601e-01
1.180179607051854109e+05,2.845268946083476802e-01
1.180187016401501169e+05,2.837393232927163389e-01
1.180194425751148228e+05,2.829517519770848866e-01
1.180201835100795288e+05,2.821306669884479090e-01
1.180209244450442347e+05,2.813095819998108760e-01
1.180216653752282728e+05,2.805471459389336508e-01
1.180224063054123253e+05,2.797260609502966733e-01
1.180231472403770313e+05,2.791311932544474073e-01
1.180238881753417372e+05,2.785363255585981412e-01
1.180246291103064432e+05,2.779414578627488752e-01
1.180253700452711491e+05,2.775476722049332046e-01
1.180261109802358551e+05,2.770198318550951555e-01
1.180268519152005611e+05,2.762238821212122941e-01
1.180275928501652670e+05,2.759976648284246381e-01
1.180283337851299730e+05,2.757714475356368711e-01
1.180290747200946789e+05,2.755284734063463414e-01
1.180298156550593849e+05,2.752854992770558118e-01
1.180305565852434374e+05,2.705433145467645573e-01
1.180312975154274754e+05,2.658011298164733582e-01
1.180320384503921814e+05,2.616538127820313697e-01
1.180327793853568874e+05,2.575064957475893812e-01
1.180335203203215933e+05,2.530156635648401209e-01
1.180342612552862993e+05,2.485918587281019942e-01
1.180350021902510052e+05,2.441680538913638954e-01
1.180357431252157112e+05,2.397861411458827863e-01
1.180364840601804171e+05,2.353204442178876976e-01
1.180372249951451231e+05,2.310139372366691590e-01
1.180379659301098291e+05,2.267660791832104283e-01
1.180387068602938816e+05,2.224595722019918620e-01
1.180394477904779342e+05,2.181530652207733234e-01
1.180401887254426401e+05,2.137711524752922421e-01
1.180409296604073461e+05,2.094981591670792842e-01
1.180416705953720520e+05,2.162679211142088109e-01
1.180424115303367580e+05,2.237498486127071362e-01
1.180431524653014640e+05,2.306117731606020516e-01
1.180438934002661699e+05,2.376999150012847062e-01
1.180446343352308759e+05,2.443440006746432636e-01
1.180453752701955818e+05,2.509880863480017932e-01
